Date,Tempature High (°F),Tempature Low (°F),Percipitation MTD (Inch),Percipitation YTD (Inch),Snow MTD (Inch),Snow YTD (Inch),Rain
6/8/2016,81.1,58.7,1.22,12.52,0,17.52,0
6/9/2016,81.5,59,1.38,12.68,0,17.52,0
6/10/2016,81.8,59.4,1.54,12.83,0,17.52,0
6/11/2016,82.1,59.7,1.69,12.95,0,17.52,0
6/12/2016,82.4,60.1,1.81,13.11,0,17.52,0
6/13/2016,82.7,60.4,1.97,13.27,0,17.52,0
6/14/2016,83,60.7,2.13,13.39,0,17.52,0
6/15/2016,83.3,61.1,2.24,13.54,0,17.52,0
6/16/2016,83.6,61.4,2.36,13.66,0,17.52,0
6/17/2016,83.9,61.7,2.52,13.78,0,17.52,0
6/18/2016,84.1,62,2.64,13.94,0,17.52,0
6/19/2016,84.4,62.3,2.76,14.06,0,17.52,0
6/20/2016,84.6,62.6,2.87,14.17,0,17.52,0
6/21/2016,84.9,62.9,3.03,14.29,0,17.52,0
6/22/2016,85.1,63.2,3.15,14.45,0,17.52,0
6/23/2016,85.4,63.4,3.31,14.57,0,17.52,0
6/24/2016,85.6,63.7,3.43,14.69,0,17.52,0
6/25/2016,85.8,63.9,3.54,14.84,0,17.52,0
6/26/2016,86,64.2,3.7,14.96,0,17.52,0
6/27/2016,86.2,64.4,3.82,15.12,0,17.52,0
6/28/2016,86.4,64.6,3.94,15.24,0,17.52,0
6/29/2016,86.5,64.8,4.06,15.35,0,17.52,0
6/30/2016,86.7,65,4.17,15.47,0,17.52,0
